001 第一回　　逢舊往事怪迷離　睹新聞關心驚歲月
002 第二回　　入塵寰初進石頭　懁往事悶看《紅樓夢》
003 第三回　　聽芳名驚心增惝恍　嘗菜滿腹詫離奇
004 第四回　　慧神暪下問啟新知　呆霸王酣酒呈故態
005 第五回　　求知識借新書　瞎憂愁縱談洋貨
006 第六回　　翻冊籍自訝過來人　避喧囂偏逢醉酒漢
007 第七回　　一言不合怒絕狂徒　滿口忠言正則大舅
008 第八回　　閑品茗縱談天足　論禁獵驚及地反
009 第九回　　一家春慧神暪品酒　製造局呆霸王買書
010 第十回　　論文野旁及圓林　考工藝遍遊局廠
011 第十一回　　看造槍炮轉疑教授　退打璜表論及賭徒
012 第十二回　　氣燄逼人王威兒受屈　冤家狹路楊勢子遭殃
013 第十三回　　贈盤纏薛蟠仗義　試邪術王命舞刀
014 第十四句　　受愚蒙薛蟠拜神壇　信邪教中堂攻使館
015 第十五回　　義和團大鬧北京城　呆霸王夜走長新店
016 第十六回　　義和團態畢呈　王威兒凶心忽露
017 第十七回　　味蕝園兩番演說　長髮棧一夕清談
018 第十八回　　引證古今好斈生詞窮夜遁　橫施縲紲慧神璊平地遭殃
019 第十九回　　片言賈禍狴犴羈身　毒手頻施鴻毛性命
020 第二十回　　何處有堂前三尺法　忽地來天外一封書
021 第二十一回　　放手槍寶玉縛強盜　中冷箭焙茗現原形
022 第二十二回　　賈寶玉初入文明境　老少年演說再造天
023 第二十三回　　研醫道改良飲食　制奇器科斈昌明
024 第二十四回　　驗病所痛陳醫理　乘飛車快閱水師
025 第二十五回　　穿魚腹戰船施猛力　試電氣海上發奇光
026 第二十六回　　閑挑燈主賓談政體　駕獵車人類戰飛禽
027 第二十七回　　中非洲獵獲大鵬　藏書樓縱觀古籍
028 第二十八回　　獲大鵬同受獎牌　捕鯤魚快乘獵艇
029 第二十九回　　遇荒島鳴槍擊海馬　沉水底發電戰鰍魚
030 第三十回　　勇水手入海戰人魚　慧神璊戴冰獲貂鼠
031 第三十一回　　探南極異景看旋渦　逐巨鰍無心得海隧
032 第三十二回　　獲奇珍頃刻變溫涼　嘗旨酒當筵論文野
033 第三十三回　　進方物書記登程　游公園暑天賞雪
034 第三十四回　　走隧道縱游奇境　閱工廠快得工觀
035 第三十五回　　論競爭閑談黨派　借農桑引出軍操
036 第三十六回　　品評風俗及娼優　行軍利品偏慈善
037 第三十七回　　演飛車雲端列陣　制奇炮電術通神
038 第三十八回　　奇器發明偏談仁術　壯游已遍擬訪文明
039 第三十九回　　故人遇合飲酒陶情　醫斈昌明駐頻益壽
040 第四十回　　入夢境文明先兆　新石頭演義告成
