001 萬花樓 4135 第一回 　　選秀女內監出京　赴皇都嬌娥灑淚
002 萬花樓 4136 第二回 　　八王爺蒙恩獲美　狄千金慰母修書
003 萬花樓 4137 第三回 　　寇公駕幸澶州　劉后陰謀換太子
004 萬花樓 4138 第四回 　　遭洪水狄青遇救　犯中原西夏興兵
005 萬花樓 4139 第五回 　　小英雄受困求簽　兩好漢憐貧結義
006 萬花樓 4140 第六回 　　較技英雄分上下　閒遊酒肆惹災殃
007 萬花樓 4141 第七回 　　打死凶頑除眾害　開脫豪傑順民情
008 萬花樓 4142 第八回 　　說人情忠奸辯駁　演武藝英傑縱橫
009 萬花樓 4143 第九回 　　急求名題詩得禍　報私怨越律傷人
010 萬花樓 4144 第十回 　　受傷豪傑求醫急　濟世高僧贈藥良
011 萬花樓 4145 第十一回 　　愛英雄勸還故裏　恨奸佞賜贈金刀
012 萬花樓 4146 第十二回 　　伏猛駒誤入牢籠　救故主脫離羅網
013 萬花樓 4147 第十三回 　　脫圈套英雄避難　逢世誼吏部扶危
014 萬花樓 4148 第十四回 　　感義俠同伴離奸　圓奇夢賢王慰母
015 萬花樓 4149 第十五回 　　團圓夢力薦英雄　奉懿旨勇擒龍馬
016 萬花樓 4150 第十六回 　　感知遇少年訴身世　證鴛鴦太后認親人
017 萬花樓 4151 第十七回 　　狄公子乘醉尋奸　包大人夜巡衡事
018 萬花樓 4152 第十八回 　　狄皇親索馬比武　龐國丈妒賢生心
019 萬花樓 4153 第十九回 　　禦教場俊傑揚威　彩山殿奸徒就戮
020 萬花樓 4154 第二十回 　　將英雄實至名歸　會俠烈情投意合
021 萬花樓 4155 第二十一回 　　薦解征衣施毒計　喜承王命出牢籠
022 萬花樓 4156 第二十二回 　　離牢獄三傑談情　解征衣二雄立志
023 萬花樓 4157 第二十三回 　　現金軀玄武賜寶　臨凡界王禪收徒
024 萬花樓 4158 第二十四回 　　出潼關劉慶追蹤　入酒肆狄青遇母
025 萬花樓 4159 第二十五回 　　設機謀智拿虎將　盜雲帕巧伏英雄
026 萬花樓 4160 第二十六回 　　軍營內傳通消息　路途中痛懲強徒
027 萬花樓 4161 第二十七回 　　因心急圖奸惹禍　為國事別母登程
028 萬花樓 4162 第二十八回 　　報恩寺得遇高僧　磨盤山險逸惡寇
029 萬花樓 4163 第二十九回 　　信奸言頑寇劫征衣　出偈語高僧解大惑
030 萬花樓 4164 第三十回 　　李將軍尋覓欽差　焦先鋒圖謀龍馬
031 萬花樓 4165 第三十一回 　　勇將力剿大狼山　莽漢誤投五雲汛
032 萬花樓 4166 第三十二回 　　貪酒英雄遭毒計　冒功宵小設奸謀
033 萬花樓 4167 第三十三回 　　李守備冒功欺元帥　狄欽差違限趕邊關
034 萬花樓 4168 第三十四回 　　楊元帥怒失軍衣　狄欽差忿追功績
035 萬花樓 4169 第三十五回 　　帥堂上小奸喪膽　山洞中莽將呼援
036 萬花樓 4170 第三十六回 　　莽先鋒質證冒功　刁守備強辭奪理
037 萬花樓 4171 第三十七回 　　守備無能軍前出醜　欽差有術馬上立功
038 萬花樓 4172 第三十八回 　　思投效強盜送征衣　念親恩英雄薦姐丈
039 萬花樓 4173 第三十九回 　　臨潼關劉慶除奸　五雲汛張文上任
040 萬花樓 4174 第四十回 　　龐國丈唆訟納賄　尹貞娘正語規夫
041 萬花樓 4175 第四十一回 　　逞刁狡沈氏叩閽　暗請托孫武查庫
042 萬花樓 4176 第四十二回 　　封倉庫儒臣設計　打權奸莽漢洩機
043 萬花樓 4177 第四十三回 　　楊元帥上本劾奸　龐國丈巧言惑主
044 萬花樓 4178 第四十四回 　　罵奸黨貞娘自縊　捏供詞莽漢遭殃
045 萬花樓 4179 第四十五回 　　佘太君金殿說理　包待制烏臺審冤
046 萬花樓 4180 第四十六回 　　行色匆匆星夜登程　狂飆颯颯中途落帽
047 萬花樓 4181 第四十七回 　　郭海壽街頭賣菜　李太后窯內逢臣
048 萬花樓 4182 第四十八回 　　訴冤情賢臣應夢　甘淡泊故後安貧
049 萬花樓 4183 第四十九回 　　包待制當殿劾奸　沈禦史欺君定罪
050 萬花樓 4184 第五十回 　　賢命婦獲救回生　忠直臣溯原翻案
051 萬花樓 4185 第五十一回 　　包待制領審無私　焦先鋒直供不諱
052 萬花樓 4186 第五十二回 　　復審案扶忠抑佞　再查庫假公濟私
053 萬花樓 4187 第五十三回 　　孫兵部領旨查庫　包待制驚主伸冤
054 萬花樓 4188 第五十四回 　　宋仁宗聞奏思親王　刑部奉旨審案
055 萬花樓 4189 第五十五回 　　刁愚婦陷夫不義　無智臣昧主辜恩
056 萬花樓 4190 第五十六回 　　王刑部受賄欺心　包待制夜巡獲證
057 萬花樓 4191 第五十七回 　　勘奸謀包拯持正　儆貪吏王炳殉身
058 萬花樓 4192 第五十八回 　　懷母後宋帝傷心　審郭槐包拯棘手
059 萬花樓 4193 第五十九回 　　假豐都郭監招供　真惶恐劉后自裁
060 萬花樓 4194 第六十回 　　迎國母君王起駕　還鳳闕李後辭窯
061 萬花樓 4195 第六十一回 　　殯劉后另貶陵墓　戮郭槐追旌善良
062 萬花樓 4196 第六十二回 　　安樂王喜諧花燭　西夏主妄動干戈
063 萬花樓 4197 第六十三回 　　楊宗保中鎚喪命　飛山虎履險遭擒
064 萬花樓 4198 第六十四回 　　丟失毒鎚西軍敗陣　安排酒宴宋將慶功
065 萬花樓 4199 第六十五回 　　悼功臣加恩後嗣　慮邊患暗探軍情
066 萬花樓 4200 第六十六回 　　稽婚姻狄青盡職　再進犯夏主鏖兵
067 萬花樓 4201 第六十七回 　　美逢美有意求婚　強遇強灰心思退
068 萬花樓 4202 第六十八回 　　趙元吳兵敗求和　宋將帥凱旋完娶
