001 兩交婚小傳 19032 第一回 　　題破廟觸怒生憐　圂香奩虛誇惹厭
002 兩交婚小傳 19033 第二回 　　刁天胡熱討一場羞　強不知豔談天下美
003 兩交婚小傳 19034 第三回 　　甘不朵誤入湘妃祠　辛荊燕大開紅藥社
004 兩交婚小傳 19035 第四回 　　訪青樓喜遇有心人　探香閨開出多情路
005 兩交婚小傳 19036 第五回 　　慕芳香改裝女子　憐才貌願變男兒
006 兩交婚小傳 19037 第六回 　　近朱者先竊紅香　未來者細商黑漆
007 兩交婚小傳 19038 第七回 　　辛解慍指子夜明明挑綠綺　甘不朵詠燈影暗暗係紅絲
008 兩交婚小傳 19039 第八回 　　恨積雨誤佳期書生空著急　賞牡丹憐俊彥父母也留情
009 兩交婚小傳 19040 第九回 　　黎瑤草最有心思能忖度　甘非想不加聲色善提防
010 兩交婚小傳 19041 第十回 　　刁天胡賴婚姻自告自　王知縣審官司單打單
011 兩交婚小傳 19042 第十一回 　　彤管生花一時驚縣座　赤繩係美千里報師恩
012 兩交婚小傳 19043 第十二回 　　暴將軍張閫外殺風浪　辛小姐飾泥中弄強橫
013 兩交婚小傳 19044 第十三回 　　喬公子瞞不到底現還原相　假夫人巧飾眼前裝出真腔
014 兩交婚小傳 19045 第十四回 　　占高魁准擬快乘龍　尋舊約倒期驚去鳳
015 兩交婚小傳 19046 第十五回 　　辛光祿事憂差再暗訂前盟　甘探花心不變偏硬辭貴聘
016 兩交婚小傳 19047 第十六回 　　為辭婚觸權奸遭顯禍　因下獄感明聖賜歸婚
017 兩交婚小傳 19048 第十七回 　　癡惡漢向外親探內事　俏佳人借古蹟索新題
018 兩交婚小傳 19049 第十八回 　　四才子兩交婚大快素心真得意　雙夫妻齊面聖特加恩爵大團圓
