001 快士傳 4118 第一卷 　　富家翁百計磨豪傑　空門衲一飯結英雄
002 快士傳 4119 第二卷 　　疏財漢好議訂宗盟　總兵官觀詩禮文士
003 快士傳 4120 第三卷 　　書生拾兔驚響馬　俠客抽鬃接彈弓
004 快士傳 4121 第四卷 　　慣負人俗子誤身謀　不忘生英雄償死債
005 快士傳 4122 第五卷 　　走健卒誤拿差役　脫禁犯權借乞兒
006 快士傳 4123 第六卷 　　賺真硯物歸原主　釋假賊僧雪冤誣
007 快士傳 4124 第七卷 　　奸徒喬裝真耳聾　賢官巧辨詐眼瞎
008 快士傳 4125 第八卷 　　飲壽觴漫題冷暖句　救色妓不動雨雲情
009 快士傳 4126 第九卷 　　竭心力臣忠感鬼神　焚契券友義動官長
010 快士傳 4127 第十卷 　　公子感恩代請命　府卒遇俠托求仙
011 快士傳 4128 第十一卷 　　假僧人連累真僧人　真太監引出假太監
012 快士傳 4129 第十二卷 　　雪憤恨外國草文　善反覆小人花面
013 快士傳 4130 第十三卷 　　監軍忘怨釋大罪　學士詰奸省遠行
014 快士傳 4131 第十四卷 　　俊紅顏陣上動芳心　俠青樓軍中投片札
015 快士傳 4132 第十五卷 　　守糟糠義讓佳麗　懾宦豎智遣神偷
016 快士傳 4133 第十六卷 　　招俊彥少女結良姻　格奸頑快士傳佳話
