001 合錦回文傳 2174 第一卷 　　璇璣圖遺文傳半寶　風流種遲配俟佳人
002 合錦回文傳 2175 第二卷 　　梁家母誤植隔牆花　賴氏子權冒連枝秀
003 合錦回文傳 2176 第三卷 　　竊館穀豪家延損友　撞金鐘門客造奸謀
004 合錦回文傳 2177 第四卷 　　蠢鰥夫欲續嬌娃　硬媒人強求半錦
005 合錦回文傳 2178 第五卷 　　梁秀才改妝窺淑女　桑小姐乘夜走扁舟
006 合錦回文傳 2179 第六卷 　　認義女柳太守寄書　被奸謀梁秀才失錦
007 合錦回文傳 2180 第七卷 　　才郎脫難逢故友　奸黨冒名賺美姝
008 合錦回文傳 2181 第八卷 　　矢冰心桑氏羞郎　見蒼頭梁生解惑
009 合錦回文傳 2182 第九卷 　　續春闈再行秋殿試　奏武略敕勸文狀元
010 合錦回文傳 2183 第十卷 　　運妙算書生奏大功　泄詐局奸徒告內變
011 合錦回文傳 2184 第十一卷 　　真強盜幻殺負心女　假姊妹訂配有情郎
012 合錦回文傳 2185 第十二卷 　　喬妝鬼巧試義夫　託還魂賺諧新偶
013 合錦回文傳 2186 第十三卷 　　負心賊夢游地府　高義翁神賜麟兒
014 合錦回文傳 2187 第十四卷 　　欒雲棟活追賴本初　賽空兒嫁禍時伯喜
015 合錦回文傳 2188 第十五卷 　　老判官顯聖報往德　小白馬救主贖前辜
016 合錦回文傳 2189 第十六卷 　　一封柬送半璇圖　三人詩合雙文錦
