001 第一回　　紂王女媧宮進香
002 第二回　　冀州侯蘇護反商
003 第三回　　姬昌解圍進妲己
004 第四回　　恩州驛狐狸死妲己
005 第五回　　雲中子進劍除妖
006 第六回　　紂王無道造炮烙
007 第七回　　費仲計廢姜皇后
008 第八回　　方弼方相反朝歌
009 第九回　　商容九間殿死節
010 第十回　　姬伯燕山收雷震
011 第十一回　　羑里城囚西伯侯
012 第十二回　　陳塘關哪吒出世
013 第十三回　　太乙真人收石磯
014 第十四回　　哪吒現蓮花化身
015 第十五回　　崑崙山子牙下山
016 第十六回　　子牙火燒琵琶精
017 第十七回　　蘇妲己置造蠆盆
018 第十八回　　子牙諫主隱磻溪
019 第十九回　　伯邑考進貢贖罪
020 第二十回　　散宜生私通費尤
021 第二十一回　　姬昌誇官逃五關
022 第二十二回　　西伯侯文王吐子
023 第二十三回　　文王夜夢飛熊兆
024 第二十四回　　渭水文王聘子牙
025 第二十五回　　蘇妲己請妖赴宴
026 第二十六回　　妲己設計害比干
027 第二十七回　　太師回兵陳十策
028 第二十八回　　子牙兵伐崇侯虎
029 第二十九回　　斬侯虎文王托孤
030 第三十回　　周紀激反武成王
031 第三十一回　　聞太師驅兵追襲
032 第三十二回　　黃天化潼關會父
033 第三十三回　　黃飛虎泗水大戰
034 第三十四回　　飛虎歸周見子牙
035 第三十五回　　晁田兵探西岐事
036 第三十六回　　張桂芳奉詔西征
037 第三十七回　　姜子牙一上崑崙
038 第三十八回　　四聖西岐會子牙
039 第三十九回　　姜子牙冰凍岐山
040 第四十回　　四天王遇丙靈公
041 第四十一回　　聞太師兵伐西岐
042 第四十二回　　黃花山收鄧辛張陶
043 第四十三回　　聞大師西岐大戰
044 第四十四回　　子牙魂游崑崙山
045 第四十五回　　燃燈議破十絕陣
046 第四十六回　　廣成子破金光陣
047 第四十七回　　公明輔佐聞太師
048 第四十八回　　陸壓獻計射公明
049 第四十九回　　武王失陷紅沙陣
050 第五十回　　三姑計擺黃河陣
051 第五十一回　　子牙劫營破聞仲
052 第五十二回　　絕龍嶺聞仲歸天
053 第五十三回　　鄧九公奉敕西征
054 第五十四回　　土行孫立功顯耀
055 第五十五回　　土行孫歸伏西岐
056 第五十六回　　子牙設計收九公
057 第五十七回　　冀州侯蘇護伐西岐
058 第五十八回　　子牙西岐逢呂岳
059 第五十九回　　張山李錦伐西岐
060 第六十回　　洪錦西岐城大戰
061 第六十一回　　姜子牙金臺拜將
062 第六十二回　　首陽山夷齊阻兵
063 第六十三回　　孔宣兵阻金雞嶺
064 第六十四回　　準提道人收孔宣
065 第六十五回　　姜子牙三路分兵
066 第六十六回　　廣成子三謁碧遊宮
067 第六十七回　　青龍關飛虎折兵
068 第六十八回　　哼哈二將顯神通
069 第六十九回　　土行孫盜騎陷身
070 第七十回　　鄭倫捉將取汜水
071 第七十一回　　老子一爇化三清
072 第七十二回　　三教會破誅仙陣
073 第七十三回　　穿雲關四將被擒
074 第七十四回　　楊任下山破瘟司
075 第七十五回　　子牙潼關遇痘神
076 第七十六回　　三教大會萬仙陣
077 第七十七回　　三大師收獅象犼
078 第七十八回　　子牙兵取臨潼關
079 第七十九回　　文煥怒斬殷破敗
080 第八十回　　子牙暴紂王十罪
081 第八十一回　　子牙發柬擒妲己
082 第八十二回　　摘星樓紂王自焚
083 第八十三回　　周武王造臺登基
