001 大唐秦王詞話 22168 第一回 　　李公子晉陽興義兵　唐國公關中受隋禪
002 大唐秦王詞話 22169 第二回 　　唐高祖郊天頒大赦　王世充毀詔殺欽差
003 大唐秦王詞話 22170 第三回 　　洛陽城世充被圍　北邙山秦王受誘
004 大唐秦王詞話 22171 第四回 　　唐秦王私看金墉地　程咬金斧劈老君堂
005 大唐秦王詞話 22172 第五回 　　唐秦王失陷金墉　劉文靖親齎軟表
006 大唐秦王詞話 22173 第六回 　　高祖試三仙鬥術　李靖誘梁王起兵
007 大唐秦王詞話 22174 第七回 　　金墉城玄成改偽赦　千秋嶺叔寶送真龍
008 大唐秦王詞話 22175 第八回 　　西秦偽霸主起兵　河南假周公顯聖
009 大唐秦王詞話 22176 第九回 　　飛鼠耗糧同天譴　美人困使亦人謀
010 大唐秦王詞話 22177 第十回 　　桓法嗣定計奪糧　李玄邃興師伐鄭
011 大唐秦王詞話 22178 第十一回 　　桓軍師大布神師計　李魏王兵敗翠屏川
012 大唐秦王詞話 22179 第十二回 　　李密計窘投唐　高祖寬恩賜爵
013 大唐秦王詞話 22180 第十三回 　　李藥師智降薛仁杲　邢國公愧接小秦王
014 大唐秦王詞話 22181 第十四回 　　定巧計十羞李密　吟反詩三忤秦王
015 大唐秦王詞話 22182 第十五回 　　桃林縣李密反唐　鹽岡嶺建德中箭
016 大唐秦王詞話 22183 第十六回 　　野豬坡李玄邃敗兵　斷密澗王伯當死節
017 大唐秦王詞話 22184 第十七回 　　魏玄成抱竿哭主　徐世勣被說降唐
018 大唐秦王詞話 22185 第十八回 　　桓軍師初犯伊州　唐秦王二下河南
019 大唐秦王詞話 22186 第十九回 　　朱燦醉蒸段學士　公瑾智破楚王兵
020 大唐秦王詞話 22187 第二十回 　　楚朱燦窮投王世充　李藥師計破鄭仙妃
021 大唐秦王詞話 22188 第二十一回 　　李元吉私選晉陽女　劉武周明起朔州兵
022 大唐秦王詞話 22189 第二十二回 　　因借宿力伏鐵妖　為投軍智降水怪
023 大唐秦王詞話 22190 第二十三回 　　六丁神暗傳戰策　猛敬德明奪先鋒
024 大唐秦王詞話 22191 第二十四回 　　尉遲恭奪郡縣　李元吉求救兵
025 大唐秦王詞話 22192 第二十五回 　　趙郡王大統三軍　尉遲恭力敗八將
026 大唐秦王詞話 22193 第二十六回 　　唐高祖觀圖懼敬德　徐茂功憶友薦秦瓊
027 大唐秦王詞話 22194 第二十七回 　　茂功智說秦叔寶　世民義釋程咬金
028 大唐秦王詞話 22195 第二十八回 　　赴黎陽軍師全孝道　戰柏壁大將逞英雄
029 大唐秦王詞話 22196 第二十九回 　　唐秦王私窺柏壁關　秦叔寶夜戰秋風嶺
030 大唐秦王詞話 22197 第三十回 　　龍畏虎三跳虹霓澗　臣救君大戰落葉坡
031 大唐秦王詞話 22198 第三十一回 　　賂西番世勣用奇謀　困樵水尉遲失大計
032 大唐秦王詞話 22199 第三十二回 　　納番卒宋金剛喪地　假山王秦叔寶獲糧
033 大唐秦王詞話 22200 第三十三回 　　秦叔寶兵困介休城　徐茂功文取太原府
034 大唐秦王詞話 22201 第三十四回 　　劉文靖用智殺武周　唐秦王施恩降敬德
035 大唐秦王詞話 22202 第三十五回 　　信讒言高祖殺忠臣　息眾議秦王結義士
036 大唐秦王詞話 22203 第三十六回 　　徐軍師招降羅士信　單駙馬追逼小秦王
037 大唐秦王詞話 22204 第三十七回 　　魏宣陵剗馬救秦王　榆窠園眾雄服敬德
038 大唐秦王詞話 22205 第三十八回 　　徐茂功定計救敬德　李元吉比槊戰尉遲
039 大唐秦王詞話 22206 第三十九回 　　南御園小交兵　壽山殿排總管
040 大唐秦王詞話 22207 第四十回 　　桓法嗣再布神師計　王世充重借納命軍
041 大唐秦王詞話 22208 第四十一回 　　奪旗馬二將逞英雄　祈大暑軍師施法術
042 大唐秦王詞話 22209 第四十二回 　　李藥師決水淹夏兵　劉黑闥造讖稱漢帝
043 大唐秦王詞話 22210 第四十三回 　　獻國璽蕭後伏誅　囚五龍秦王奏凱
044 大唐秦王詞話 22211 第四十四回 　　造戰船蕭銑起兵　誆軍情賈順受戮
045 大唐秦王詞話 22212 第四十五回 　　秦瓊活捉王洪黨　無忌力斬偽越王
046 大唐秦王詞話 22213 第四十六回 　　燒戰船李靖破強敵　敗江陵蕭銑降大唐
047 大唐秦王詞話 22214 第四十七回 　　殺忠臣元吉報私怨　救良將士信劫法場
048 大唐秦王詞話 22215 第四十八回 　　掛金牌秦王保家屬　感神夢薛氏獻中山
049 大唐秦王詞話 22216 第四十九回 　　叔寶徵討高開道　羅成戰敗蘇定方
050 大唐秦王詞話 22217 第五十回 　　淤泥河羅成死節　長安城秦府興兵
051 大唐秦王詞話 22218 第五十一回 　　再顯魂羅成雪恨　破饒州黑闥伏誅
052 大唐秦王詞話 22219 第五十二回 　　識天時賢母訓子　全孝道義士降唐
053 大唐秦王詞話 22220 第五十三回 　　英齊練馬咬秦王　敬德保駕救真主
054 大唐秦王詞話 22221 第五十四回 　　元吉披麻拷敬德　秦王設計救尉遲
055 大唐秦王詞話 22222 第五十五回 　　寇蒲關突厥猖狂　詔皇莊敬德詐病
056 大唐秦王詞話 22223 第五十六回 　　事嬪妃英齊合謀　害秦王張尹設計
057 大唐秦王詞話 22224 第五十七回 　　二妃毆死有功臣　敬德武請皇國丈
058 大唐秦王詞話 22225 第五十八回 　　二妃狐媚譖秦王　褚亮忠誠救太子
059 大唐秦王詞話 22226 第五十九回 　　裴文靖私換藥酒　唐秦王明掛玉帶
060 大唐秦王詞話 22227 第六十回 　　燒夜香秦王明禱告　遣刺客元吉暗行謀
061 大唐秦王詞話 22228 第六十一回 　　唐太子赴筵中毒酒　孫真人降世獻仙丹
062 大唐秦王詞話 22229 第六十二回 　　程咬金打散文學館　尉遲恭大鬧稅課司
063 大唐秦王詞話 22230 第六十三回 　　玄武門太子交鋒　顯德殿秦王即位
064 大唐秦王詞話 22231 第六十四回 　　太宗渭橋立盟　藥師陰山奏凱
