001 第一回　　窮秀才古廟訓蒙　真神仙直言算命
002 第二回　　信子平巡撫擇婿　定巧計神仙設謀
003 第三回　　懷偽造當街闖道　信真命書館留賓
004 第四回　　請學師幕友陪賓　試人品心術出對
005 第五回　　學師一身聯嘉偶　秀才雙喜慶登科
006 第六回　　聯詩句各顯奇才　留遺書暫回古洞
007 第七回　　屈子路上過新年　慈母家中談舊事
008 第八回　　入都門僑寓旅店　謁姨丈開閣留賓
009 第九回　　屈孝廉復試首選　李太師入朝承恩
010 第十回　　寫家書寄呈文字　游古寺雅賦詩歌
011 第十一回　　放春榜師魯成名　謁座主相國敘舊
012 第十二回　　入詞林喜邀館選　設巧計賺赴章台
013 第十三回　　見所見驚魂動魄　聞所聞解語留情
014 第十四回　　宋武生巧娶才女　屈太史暫出都門
015 第十五回　　聞捷報門楣添喜　避仇人巡撫棄官
016 第十六回　　返家鄉吳公還裡　接書信屈子入秦
017 第十七回　　久離別熊羆有夢　謀作亂犬豕稱兵
018 第十八回　　老國公奉旨救邊　美佳人添丁產子
019 第十九回　　慶生辰醉吐真言　到邊庭喜逢謀士
020 第二十回　　三路進兵驚反寇　兩番用計勝敵人
021 第二十一回　　強攻城炮打番兵　進讒言詔促元戎
022 第二十二回　　宣詔書常爺氣死　從知己呂老捐生
023 第二十三回　　常國公夢中示兆　聖天子殿上除奸
024 第二十四回　　托薦舉假手報仇　不怨尤甘心赴敵
025 第二十五回　　屈太史奉命專徵　霍先鋒用計驚賊
026 第二十六回　　識詐降權留反寇　行中速喜得仙書
027 第二十七回　　服靈藥頓生神力　舞大刀驚嚇番兵
028 第二十八回　　聞信息番帥吃驚　逞勇力先鋒被獲
029 第二十九回　　准寬限識破詭計　暗發兵追趕番王
030 第三十回　　擒番王入關候信　送太子獻表稱臣
031 第三十一回　　平番部入闕朝天　襲侯封乞假養母
032 第三十二回　　一家團聚徵厚福　兩美相逢述舊緣
033 第三十三回　　依舅氏醜女入秦　好武功郊外打獵
034 第三十四回　　互愛英雄聯眷屬　榮歸故里祭墳塋
035 第三十五回　　吳巡撫遺言托兒女　屈通侯聞信返秦中
036 第三十六回　　吳夫人命僕購美女　屈師魯奉詔查邊庭
037 第三十七回　　薦媒婆買得二女　寄嬌娥速下三吳
038 第三十八回　　吳夫人向婢訴原由　華秋容盡心傳音律
039 第三十九回　　因教字漸入仙源　借嘉種欣占吉夢
040 第四十回　　兒女慶雙全子平有准　家業分三股屈子還鄉
