001 第一回　　斬叛夷奴酋濫爵　急備禦群賢伐謀
002 第二回　　哈赤計襲撫順　承胤師覆清河
003 第三回　　拒招降張旆死事　議剿賊楊鎬出師
004 第四回　　牙旗折報杜鬆亡　五星斗兆劉挺死
005 第五回　　作士氣芝岡斬將　死王事台失自焚
006 第六回　　振南出奇毒　虜芝岡力固全遼
007 第七回　　易經臣禍產亡遼　收降夷謀疏覆沈
008 第八回　　侍御罵賊殉節　兩賢殺身成仁
009 第九回　　款西夷牽東虜　撫南衛固西河
010 第十回　　遍巡島嶼扶窮民　夜戰鎮江擒叛將
011 第十一回　　避敵鋒寄跡朝鮮　得地勝雄據皮島
012 第十二回　　劉渠力戰鎮武　一貴死守西川
013 第十三回　　廣寧城叛將降奴　松山堡監軍死義
014 第十四回　　群賢憂國薦才　奇士東征建節
015 第十五回　　陳方略形成聚術　分屯駐勢合聯珠
016 第十六回　　大屯田戰守兼　行通商賈軍資兼足
017 第十七回　　毛帥規取建州路　陳忠首捷櫻桃渦
018 第十八回　　大孝克伸母節　孤忠上格天心
019 第十九回　　張盤恢復金州　杜貴大戰滿浦
020 第二十回　　亮馬佃官兵破賊　牛毛寨虜眾再衄
021 第二十一回　　鐵山八路興師　烏雞連戰破敵
022 第二十二回　　屬國變生肘腋　帥臣勢定輔車
023 第二十三回　　王千總臘夜擒胡　張都司奇兵拒敵
024 第二十四回　　皇恩兩敕褒忠　偏師三戰奏捷
025 第二十五回　　天神頓息邪謀　急雨盡消賊計
026 第二十六回　　建重關朱張死節　遏歸虜茂春立功
027 第二十七回　　聖眷隆貂璫遠使　朝鮮封唇齒勢成
028 第二十八回　　寧遠城火攻走賊　威寧海力戰牽奴
029 第二十九回　　官軍奇撓斃奴　裨將潛師獲虜
030 第三十回　　亟拯恤寒儒生色　請附試文脈重延
031 第三十一回　　有俊自刎鐵山關　承祿扼虜義州道
032 第三十二回　　除民害立斬叛將　抒丹心縛送孤山
033 第三十三回　　請鎮臣中外合力　分屯駐父子同功
034 第三十四回　　滿總理寧遠奇勛　趙元戎錦州大捷
035 第三十五回　　疏歸不居寵利　奏辯大息雌黃
036 第三十六回　　奇間欲疏骨肉　招降竟潰腹心
037 第三十七回　　改運道計鎖東江　軫軍民急控登鎮
038 第三十八回　　雙島屠忠有恨　東江牽制無人
039 第三十九回　　後患除醜虜入寇　大安失群賢靖節
040 第四十回　　督師頓喪前功　島兵克張先烈
