001 仙俠五花劍 9385 第一回 　　太元境群仙高會　軟紅塵五俠尋徒
002 仙俠五花劍 9386 第二回 　　黃衫客一劍誅妖　紅線女單身殺盜
003 仙俠五花劍 9387 第三回 　　服仙丹素雲換骨　衍宗派紅線傳拳
004 仙俠五花劍 9388 第四回 　　白素雲飛行絕跡　黃衫客來去無蹤
005 仙俠五花劍 9389 第五回 　　報親仇初試桃花劍　救女俠誤中竹葉鏢
006 仙俠五花劍 9390 第六回 　　雷一嗚因傷臥病　雲萬峰仗義復仇
007 仙俠五花劍 9391 第七回 　　竹葉鏢萬峰殞命　藻藜抓一鳴被擒
008 仙俠五花劍 9392 第八回 　　白素雲兩番探虎穴　黃衫客一怒掣龍泉
009 仙俠五花劍 9393 第九回 　　傳葵花劍仙俠收徒　破竹葉鏢英雄哭友
010 仙俠五花劍 9394 第十回 　　白素雲三探臥虎營黃衫客雙祭飛龍劍
011 仙俠五花劍 9395 第十一回 　　雪奇仇淫凶授首　報私憤名妓蒙冤
012 仙俠五花劍 9396 第十二回 　　酷吏逼供詞飛霞下獄　雛環訴屈冤素雲探監
013 仙俠五花劍 9397 第十三回 　　文雲龍仗義揮金　薛飛霞守身如玉
014 仙俠五花劍 9398 第十四回 　　燕子飛慕色劫獄　聶隱娘救女上山
015 仙俠五花劍 9399 第十五回 　　訪義士有心傳道　試俠腸無意憐香
016 仙俠五花劍 9400 第十六回 　　名士美人雙學藝　劍龍釵鳳兩聯姻
017 仙俠五花劍 9401 第十七回 　　盜印信雙俠警貪官　寄書函一人傳密報
018 仙俠五花劍 9402 第十八回 　　秦相府夫妻行刺　劉公島師弟重逢
019 仙俠五花劍 9403 第十九回 　　抱不平打死烏天霸　施絕技驚走燕子飛
020 仙俠五花劍 9404 第二十回 　　柳葉村燕子飛採花　松針嶺虯髯公祭劍
021 仙俠五花劍 9405 第二十一回 　　劍擊劍棋逢敵手　好殺奸血濺僧頭
022 仙俠五花劍 9406 第二十二回 　　柳員外擊鼓鳴冤　方知縣懸金緝犯
023 仙俠五花劍 9407 第二十三回 　　三岔道上血案重重　九折岩前人頭累累
024 仙俠五花劍 9408 第二十四回 　　眾差羅拜虯髯叟　群俠難擒燕子飛
025 仙俠五花劍 9409 第二十五回 　　燕子飛毒打珊珊女　虯髯公怒責空空兒
026 仙俠五花劍 9410 第二十六回 　　空空兒寒宵盜劍　珊珊女月夜飛刀
027 仙俠五花劍 9411 第二十七回 　　弄巧反拙故劍飛還　削鐵成泥寶刀失色
028 仙俠五花劍 9412 第二十八回 　　縛情絲空使美人計　觸劍鋒幾寒俠士心
029 仙俠五花劍 9413 第二十九回 　　收寶劍十俠下仙山　吐霜丸大娘開殺戒
030 仙俠五花劍 9414 第三十回 　　十仙俠收徒歸大道　五花劍傳世演奇書
