001 第一回　　惠女庵石珠修性
002 第二回　　梅花洞陸靜留賓
003 第三回　　梓樹林英雄出世
004 第四回　　石季龍杯酒定交情
005 第五回　　弘祖兵會發鳩山
006 第六回　　良鄉村有方除怪
007 第七回　　石季龍力擒雙將
008 第八回　　三樹精合謀拒敵
009 第九回　　稽有光大戰俞魁
010 第十回　　晉陽城來斯納款
011 第十一回　　石珠從眾建國號
012 第十二回　　元海下禮伏英豪
013 第十三回　　夏后妃繡牀半臂
014 第十四回　　陸參軍敗戰春門
015 第十五回　　稽侍中蕩陰死節
016 第十六回　　侯軍師登壇祭霧
017 第十七回　　玉鑾計擒黑魚精
018 第十八回　　夢月鬥武服諸將
019 第十九回　　瑯玡王歸朝待罪
020 第二十回　　洛陽城劉輿出兵
021 第二十一回　　劉元海大戰王彌
022 第二十二回　　陝州道蒲洪排陣
023 第二十三回　　劉元海破陣王彌
024 第二十四回　　王伯符連營冰凍
025 第二十五回　　澠池縣分兵赴難
026 第二十六回　　侯軍師智服王彌
027 第二十七回　　汜水關顧明殉節
028 第二十八回　　洛陽城太宰興兵
029 第二十九回　　金鑾殿石珠開宴
030 第三十回　　合歡亭眾美團圓
